CommunityDistrict,Borough,AdultFamilyCommHotel,AdultFamilyShelter,AdultShelter,AdultShelterCommHotel,FWCCluster,FWCCommHotel,FWCShelter,TotShelters
101,Manhattan,7,0,7,42,0,47,0,103
102,Manhattan,0,0,0,15,0,11,0,26
103,Manhattan,0,5,363,159,84,74,189,874
104,Manhattan,14,19,130,134,0,159,25,481
105,Manhattan,0,68,24,198,0,384,67,741
106,Manhattan,0,0,185,48,0,16,1,250
107,Manhattan,0,62,143,57,0,42,194,498
108,Manhattan,0,0,62,14,0,7,0,83
109,Manhattan,0,20,14,0,17,0,292,343
110,Manhattan,0,22,601,0,17,0,603,1243
111,Manhattan,0,0,592,0,119,0,452,1163
112,Manhattan,0,0,172,0,0,45,0,217
201,Bronx,0,28,195,73,78,41,410,825
202,Bronx,0,62,19,0,78,0,317,476
203,Bronx,0,80,401,51,84,52,468,1136
204,Bronx,0,0,124,41,433,19,871,1488
205,Bronx,0,71,201,0,384,0,409,1065
206,Bronx,7,43,123,31,87,72,1125,1488
207,Bronx,0,38,298,0,119,20,209,684
208,Bronx,0,0,0,4,0,3,62,69
209,Bronx,0,0,85,0,126,20,269,500
210,Bronx,0,0,0,0,0,0,186,186
211,Bronx,0,0,0,0,0,0,0,0
212,Bronx,0,0,90,16,14,27,172,319
301,Brooklyn,0,62,308,51,0,59,1,481
302,Brooklyn,0,62,215,30,0,0,62,369
303,Brooklyn,14,0,284,30,124,57,519,1028
304,Brooklyn,12,0,154,122,26,19,248,581
305,Brooklyn,8,0,403,238,1,80,369,1099
306,Brooklyn,4,44,95,168,0,16,42,369
307,Brooklyn,0,0,143,253,0,129,47,572
308,Brooklyn,0,20,169,57,14,5,357,622
309,Brooklyn,0,0,66,0,7,0,63,136
312,Brooklyn,0,0,50,15,0,0,62,127
313,Brooklyn,0,0,0,34,0,28,32,94
314,Brooklyn,0,0,25,0,0,7,62,94
315,Brooklyn,0,1,4,4,5,4,69,87
316,Brooklyn,9,0,248,246,2,145,894,1544
317,Brooklyn,0,0,0,48,1,17,173,239
318,Brooklyn,0,62,4,0,0,14,112,192
401,Queens,6,3,58,183,0,223,138,611
402,Queens,0,62,0,89,0,131,62,344
403,Queens,0,17,1,89,0,38,248,393
404,Queens,0,0,0,101,0,30,62,193
405,Queens,0,0,45,11,0,0,23,79
407,Queens,0,0,111,26,0,72,0,209
408,Queens,0,0,8,0,0,6,62,76
409,Queens,0,0,54,1,0,7,0,62
410,Queens,82,0,62,85,0,147,0,376
411,Queens,0,0,1,1,0,6,0,8
412,Queens,20,72,214,326,0,233,397,1262
413,Queens,0,0,20,325,0,96,124,565
414,Queens,0,62,44,61,0,46,59,272
501,Staten Island,3,0,0,5,0,3,62,73
502,Staten Island,0,0,0,0,0,28,0,28